accession,symbol,mito_pathways,description,coverage_percent,abundance_raw_wt_spf_1,abundance_raw_wt_spf_2,abundance_raw_aso_spf_1,abundance_raw_aso_spf_2,abundance_raw_aso_spf_3,abundance_raw_wt_spf_3,abundance_raw_aso_spf_4,abundance_raw_wt_spf_4,abundance_raw_wt_gf_1,abundance_raw_wt_gf_2,abundance_raw_wt_gf_3,abundance_raw_wt_gf_4,abundance_raw_aso_gf_1,abundance_raw_aso_gf_2,abundance_raw_aso_gf_3,abundance_raw_aso_gf_4,abundance_norm_wt_spf_1,abundance_norm_wt_spf_2,abundance_norm_aso_spf_1,abundance_norm_aso_spf_2,abundance_norm_aso_spf_3,abundance_norm_wt_spf_3,abundance_norm_aso_spf_4,abundance_norm_wt_spf_4,abundance_norm_wt_gf_1,abundance_norm_wt_gf_2,abundance_norm_wt_gf_3,abundance_norm_wt_gf_4,abundance_norm_aso_gf_1,abundance_norm_aso_gf_2,abundance_norm_aso_gf_3,abundance_norm_aso_gf_4,abundance_scaled_wt_spf_1,abundance_scaled_wt_spf_2,abundance_scaled_aso_spf_1,abundance_scaled_aso_spf_2,abundance_scaled_aso_spf_3,abundance_scaled_wt_spf_3,abundance_scaled_aso_spf_4,abundance_scaled_wt_spf_4,abundance_scaled_wt_gf_1,abundance_scaled_wt_gf_2,abundance_scaled_wt_gf_3,abundance_scaled_wt_gf_4,abundance_scaled_aso_gf_1,abundance_scaled_aso_gf_2,abundance_scaled_aso_gf_3,abundance_scaled_aso_gf_4,exp_q-value_combined,sum_pep_score,num_peptides,num_psms,num_unique_peptides,num_aas,mw_kda,calc_pi,biological_process,cellular_component,molecular_function,entrez_gene_id,ensembl_gene_id,gene_symbol,reactome_pathways,wikipathways
Q9Z2Q5,Mrpl40,Mitochondrial central dogma > Translation > Mitochondrial ribosome,"39S ribosomal protein L40, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl40 PE=1 SV=2",34,1368077.773,2054923.672,2065688.109,2063851.625,1861219.531,2578822.047,2192252.969,1569851.297,1404219.125,1513643.594,1279706.281,1876238.75,1386302.844,1931085.313,1564746.828,840556,1602469.295,1961269.174,1759816.68,1911765.788,1881725.975,1983602.464,2044085.718,2351138.492,1454955.697,1727026.485,1255583.383,1520659.646,1606447.299,1787459.883,1702516.687,1288882.868,5.75611894,7.044939129,6.321315583,6.867121446,6.759217516,7.125160993,7.342418701,8.445361699,5.226245564,6.203532193,4.510094089,5.462256167,5.770408053,6.420610817,6.115492247,4.629706862,0,47.148,4,31,4,206,24.3,9.47,,mitochondrion;translational apparatus;nucleus,,18100,ENSMUSG00000022706,Mrpl40,Mitochondrial translation elongation; Mitochondrial translation termination,
Q8QZS1,Hibch,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Mus musculus OX=10090 GN=Hibch PE=1 SV=1",49,753372278.6,462583145.1,692761457.7,689654913.7,517832347.2,348170909.6,442543650.3,579996631.1,210249857.3,121600733.6,98478989.64,187250411.4,228435081.8,338672152.3,140354185.7,146394384.7,481806421.5,331423359.5,443948375.1,424760794.7,390527159.1,322179247.6,381535789.2,395336491.8,285203735.2,161269526.4,164923265,213607840.3,249578253,338753990.5,215555611.3,253516718.8,9.533308685,6.557739894,8.784226841,8.404569952,7.727202859,6.374830394,7.549294262,7.822363179,5.643210892,3.190974856,3.263269904,4.226571894,4.938303894,6.702788123,4.265111649,5.016232722,0,171.408,16,189,16,385,43,8.06,other metabolic processes,,other molecular function,227095,ENSMUSG00000041426,Hibch,Branched-chain amino acid catabolism,
P52503,Ndufs6,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial OS=Mus musculus OX=10090 GN=Ndufs6 PE=1 SV=2",41,136793828.3,135420439.7,118393699.5,133332589,111526187.5,138841673.3,97980121.44,145562506.4,81192344.13,82474890.84,75804131.25,93661647.22,66313964.69,103616133.1,78994269.38,64695076.66,121383630.5,99187903.94,105903179.1,99457071.71,116292075.1,110860951.2,96118329.93,113642227.1,98103061.26,92686514.17,92244960.26,78170973.71,81199108.34,99016731.97,69102172.47,95087431.34,7.739050731,6.323918782,6.752064281,6.3410801,7.41442866,7.068156739,6.128212089,7.245482422,6.254752516,5.909409964,5.88125783,4.983943296,5.177007941,6.313005378,4.405744139,6.062485133,0,174.581,6,172,6,116,13,8.65,cell organization and biogenesis;other metabolic processes;developmental processes;other biological processes,other membranes;mitochondrion,,407785,ENSMUSG00000021606,Ndufs6,Complex I biogenesis,Oxidative phosphorylation; Electron Transport Chain
Q9D0K2,Oxct1,Metabolism > Carbohydrate metabolism > Ketone metabolism,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Mus musculus OX=10090 GN=Oxct1 PE=1 SV=1",51,156039003.6,276459686,284538332.1,297049763.1,264402122.6,254788618.7,267157817.9,297950452.7,174948827.2,171929846.6,177227123,183417019.4,158116874.1,202892118,170236004.1,160524523.8,169531438.8,223826230.7,237792853.9,291916513.2,230736170.3,204808360.6,222509321.5,205492970.2,167770655,166138579.2,132936009.9,141257740.7,160099602.6,196912729.4,170873003.6,190310259.8,5.446071552,7.190251414,7.63891881,9.377601165,7.412228091,6.579316463,7.147946684,6.601309039,5.389507681,5.337078459,4.270470581,4.537800001,5.143080818,6.325675174,5.489168326,6.113575743,0,335.584,17,316,17,520,56,8.53,other metabolic processes;stress response;developmental processes;other biological processes,mitochondrion;nucleus,other molecular function,67041,ENSMUSG00000022186,Oxct1,Utilization of Ketone Bodies,Synthesis and Degradation of Ketone Bodies
Q9D172,Gatd3a,0,"Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial OS=Mus musculus OX=10090 GN=Gatd3a PE=1 SV=1",43,224613342.9,248454875.5,195591367.5,245586346.1,201019415.2,239547330.9,224766217.7,244450026.1,137593535.9,141385116,153554038,146943040,124813700.2,160014734,135842759.1,106827699.2,205934661.1,188543032.9,171966935.2,216370077,217985389,220770172.8,197863820.8,246493955.1,150792526,133502407.1,177596345.2,163279691.9,160648700.8,166829341.1,134560471.7,124857107.1,7.155491488,6.551194733,5.975234738,7.518084794,7.574211096,7.670972355,6.875058708,8.564781605,5.2394999,4.638730229,6.170836564,5.673384166,5.581966654,5.796721755,4.675494182,4.338337035,0,215.454,10,279,10,266,28.1,8.78,,,,28295,ENSMUSG00000053329,Gatd3a,,
Q9CQJ8,Ndufb9,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 OS=Mus musculus OX=10090 GN=Ndufb9 PE=1 SV=3,44,60794255,70308273.86,77519909.63,73323015.64,66871929.06,89232306.56,66656088.38,83032735.16,43298337.32,43065328.59,44077545.16,49092960.09,43550716.97,54381395.5,41933910.58,39858815.25,58344273.15,51638884.85,60751586.36,54860214.95,72505880.97,70120495.12,52538500.36,66934895.81,40602334.19,51035467.38,39951537.3,53893071.58,52131512.33,49407526.05,44758674.48,50146118.69,6.709161224,5.93809101,6.985984492,6.308520219,8.337641705,8.063339921,6.04154016,7.697019488,4.668969059,5.86870245,4.594132215,6.197305863,5.994739538,5.6815012,5.146917547,5.766433908,0,106.774,5,151,5,179,22,7.8,cell organization and biogenesis;other metabolic processes,other membranes;mitochondrion,,66218,ENSMUSG00000022354,Ndufb9,Complex I biogenesis,Oxidative phosphorylation; Electron Transport Chain
Q9CPQ1,Cox6c,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,Cytochrome c oxidase subunit 6C OS=Mus musculus OX=10090 GN=Cox6c PE=1 SV=3,88,682379790.8,915620691,971204026.9,930076586.5,849365843.3,1027431446,888336149.2,988047578.8,552653668.8,639028439.8,642028413.7,622189317.9,534154611.5,667242467.8,554562027.4,500551759.4,572203908.5,672042967,716238821.4,676298365.7,720699877.4,716671088.6,786360102.6,696299974,640641819.2,676224994.6,727675729.5,697768843.5,601053866.6,681362183.1,583351715.7,641013086.5,5.295287941,6.2192183,6.628215463,6.2585986,6.669498955,6.632215749,7.277131642,6.443697431,5.928625879,6.257919609,6.734054868,6.45729064,5.562271149,6.305460165,5.39845195,5.93206166,0,183.965,13,387,13,76,8.5,10.14,other metabolic processes;transport,other membranes,transporter activity,12864,ENSMUSG00000014313,Cox6c,,Electron Transport Chain
P09671,Sod2,Metabolism > Detoxification > ROS and glutathione metabolism,"Superoxide dismutase [Mn], mitochondrial OS=Mus musculus OX=10090 GN=Sod2 PE=1 SV=3",51,371789944.5,419696381.7,361590047.9,439875154.4,374048461.8,441606376,369315967.5,427267268.2,245829038,241280259.2,249995945.9,276724454.3,217545046.8,285810900.8,246287086.1,197353628.2,337758202.6,329345116.2,308150695.1,380157317,325607236.4,338686104.8,342898888.7,313108541.1,243357753.8,223956218,273824174,255655671.2,258427038.4,241510751.5,248507594.8,274307176.1,7.193601888,7.014419284,6.563018765,8.096621701,6.934809613,7.213364424,7.30308864,6.668611376,5.18305339,4.769837891,5.831929706,5.444975443,5.504000249,5.143715783,5.292735126,5.842216723,0,300.896,9,501,9,222,24.6,8.62,cell organization and biogenesis;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes,mitochondrion;other cell component,nucleic acid binding activity;other molecular function,20656,ENSMUSG00000006818,Sod2,Detoxification of Reactive Oxygen Species; Transcriptional activation of mitochondrial biogenesis,One carbon metabolism and related pathways; Oxidative Stress; Oxidative Stress and Redox Pathway
Q9CQH3,Ndufb5,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial OS=Mus musculus OX=10090 GN=Ndufb5 PE=1 SV=1",30,87272472.88,90247037.94,87718202.13,92445709.56,87121790.69,109164454.3,82474542.63,108630685.2,56849409.31,53760054.75,55565212.81,60675201.38,55797403.44,64100234.88,50805136.72,46643897.97,65341594.36,78868799.39,69041750.56,76411928.6,73526078.29,94422680.74,66107536.09,84376910.62,59234748.32,55954477.91,62849224.18,59492479.3,53839339.81,60665479.51,58160311.5,58207599.33,6.069813042,7.326403217,6.413533708,7.098175753,6.830098856,8.771258562,6.140964092,7.838071255,5.502526398,5.197810416,5.838287913,5.526467946,5.001327717,5.635432106,5.402718142,5.407110876,0,103.008,7,97,7,189,21.7,9.41,cell organization and biogenesis,other membranes;mitochondrion;nucleus,,66046,ENSMUSG00000027673,Ndufb5,Complex I biogenesis,Oxidative phosphorylation; Electron Transport Chain
Q61425,Hadh,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Lysine metabolism,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Hadh PE=1 SV=2",58,50561001.44,42057634.82,41834804.57,45022588.29,35874954.11,59889142.72,37242047.07,46543235.62,27500994.84,25560885,24813688.39,27723742.63,20522678.5,33550452.77,24904150.84,20694527.73,41095968.69,35373884.9,33934636.64,44216557.71,34905975.02,43746592.68,33883601.22,36162745.19,35754179.2,29968515.75,29123194.89,25462227.76,28317022.34,29984196.02,27833308.29,26313065.61,7.666076049,6.598673798,6.330195235,8.248193311,6.511389501,8.160525644,6.320675046,6.745828451,6.669614212,5.590351758,5.432664904,4.749745063,5.282280809,5.593276768,5.192048389,4.908461061,0,166.909,14,153,14,314,34.4,8.65,other metabolic processes;other biological processes,mitochondrion;nucleus;other cell component,other molecular function,15107,ENSMUSG00000027984,Hadh,Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA; Beta oxidation of octanoyl-CoA to hexanoyl-CoA; Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA; Beta oxidation of hexanoyl-CoA to butanoyl-CoA; Beta oxidation of butanoyl-CoA to acetyl-CoA,Fatty Acid Beta Oxidation; Fatty Acid Biosynthesis; Mitochondrial LC-Fatty Acid Beta-Oxidation; Tryptophan metabolism
Q99M04,Lias,Metabolism > Lipid metabolism > Lipoate insertion | Metabolism > Metals and cofactors > Fe-S-containing proteins,"Lipoyl synthase, mitochondrial OS=Mus musculus OX=10090 GN=Lias PE=1 SV=1",4,846240.4375,644574.625,578451.25,932494.875,932974.3125,939753.3125,1124461.344,868945.7188,499682.2188,493223.4844,363385.7188,358442.0313,281183.3438,595095.1406,293730.0938,335281.5469,755942.4836,613845.2865,536809.94,740060.8439,854215.1989,802617.2205,896414.9663,729462.1961,623286.6258,521260.6837,566755.1289,447909.1605,467602.7825,508469.4482,425332.0583,450634.3852,7.604582054,6.17512172,5.400166448,7.444816946,8.593179657,8.0741176,9.01769819,7.338197345,6.270099104,5.243745029,5.701407152,4.505848048,4.703960692,5.115068573,4.278728353,4.533263089,0.002,3.381,2,5,2,373,41.9,8.88,protein metabolism;other metabolic processes;stress response;developmental processes;other biological processes,mitochondrion;other cell component,other molecular function,79464,ENSMUSG00000029199,Lias,Glyoxylate metabolism and glycine degradation,
Q9Z1J3,Nfs1,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,"Cysteine desulfurase, mitochondrial OS=Mus musculus OX=10090 GN=Nfs1 PE=1 SV=3",40,38420851.93,48377514.47,47925590.77,53374226.63,48476147.94,50925432.14,46348526.58,56411223.19,30497173.03,27811025.65,28180495.84,34033416.81,27491868.59,32457232.4,30935335.77,25792698.88,34336856.93,40021639.76,38689055.41,36047941.71,47402299.9,44392462.45,40107351.89,46530662.34,32700059.15,32236919.64,30009602.04,34736907.18,28646827.36,32850210.11,28374891.59,33759856.88,5.911550066,6.890261612,6.660839358,6.206136241,8.160941163,7.64275731,6.905018104,8.010877076,5.629753393,5.550017721,5.166555148,5.980424078,4.931935224,5.655603893,4.885117838,5.812211774,0,193.04,16,188,16,459,50.5,8.16,cell organization and biogenesis;protein metabolism;other metabolic processes,cytosol;mitochondrion;nucleus,other molecular function,18041,ENSMUSG00000027618,Nfs1,Mitochondrial iron-sulfur cluster biogenesis; Molybdenum cofactor biosynthesis,
P46656,Fdx1,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Vitamin D metabolism","Adrenodoxin, mitochondrial OS=Mus musculus OX=10090 GN=Fdx1 PE=1 SV=1",5,1013362.438,1216807.375,1063645,1135859.375,,1687099.875,,1261232.875,797034.875,771572.125,705402.25,,,937336.75,,560828.75,1170154.585,1169427.578,1381271.822,1238247.04,,1211264.958,,1100728.21,759929.9303,1008497.072,834155.912,,,914530.8547,,867470.1418,,,,,,,,,,,,,,,,,0,5.342,1,2,1,188,20.1,5.62,other metabolic processes;other biological processes,other membranes;mitochondrion,other molecular function,14148,ENSMUSG00000032051,Fdx1,Endogenous sterols; Pregnenolone biosynthesis; Electron transport from NADPH to Ferredoxin,
Q99N85,Mrps18a,Mitochondrial central dogma > Translation > Mitochondrial ribosome,"28S ribosomal protein S18a, mitochondrial OS=Mus musculus OX=10090 GN=Mrps18a PE=2 SV=1",6,756001.5625,722251.625,1143137.5,981840.875,824871.3125,1135106.875,947521.8125,970156.0625,,,,,,902214.625,,,857066.6366,1012204.178,1284556.17,931636.8762,775953.8656,1032497.838,1190573.091,1195859.046,,,,,,949225.9744,,,,,,,,,,,,,,,,,,,0,7.587,1,6,1,196,22.3,10.18,protein metabolism;other metabolic processes,mitochondrion;translational apparatus,nucleic acid binding activity;other molecular function,68565,,Mrps18a,Mitochondrial translation elongation; Mitochondrial translation termination,
Q99JT1,Gatb,Mitochondrial central dogma > Translation > mt-tRNA synthetases,"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial OS=Mus musculus OX=10090 GN=Gatb PE=1 SV=1",13,1367919.828,1290081.258,2576674.859,2641357.523,1980597.641,2539827.441,2163825.883,2041703.863,934662.9063,1816886.902,263667.0039,1275518.129,1201432.645,,1220916.945,1227009.453,1514128.234,1260255.088,1623127.532,1844375.986,1896873.63,1709043.651,1854688.944,1598330.268,1066624.431,1666912.658,593894.7891,1309668.056,1673794.991,,1278784.969,1327263.69,,,,,,,,,,,,,,,,,0,36.8,5,20,5,557,62.1,8.54,protein metabolism;RNA metabolism OR transcription;other metabolic processes,mitochondrion;other cell component,other molecular function,229487,ENSMUSG00000028085,Gatb,,
Q8BYL4,Yars2,Mitochondrial central dogma > Translation > mt-tRNA synthetases,"Tyrosine--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Yars2 PE=1 SV=2",30,32851812.27,36768632.31,30445191.11,46480196.84,34692532.33,28513141.22,24654059.72,35183470.19,21218650.97,21825158.13,21471828.95,22835137.73,14154624.98,23865052.33,19325454.09,17232925.57,40050243.08,31879435.75,26779382.86,31863250.23,24782361.03,25932082.31,26544759.13,32766492.71,15091617.93,25124367.02,21272784.74,18870084.13,18162170.24,20175745.36,24759911.34,18902328.83,9.939085665,7.911373776,6.645716975,7.90735709,6.1501252,6.435446273,6.587491477,8.131510647,3.745217804,6.234999264,5.279169703,4.682902481,4.507222727,5.006922457,6.144553963,4.690904499,0,126.048,10,79,10,472,52.6,9.16,protein metabolism;RNA metabolism OR transcription;other metabolic processes,cytosol;mitochondrion;nucleus,nucleic acid binding activity;other molecular function,70120,ENSMUSG00000022792,Yars2,,
O35943,Fxn,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,"Frataxin, mitochondrial OS=Mus musculus OX=10090 GN=Fxn PE=1 SV=1",25,5304005.328,4497027.227,4434380.531,5009708.688,4870961.688,4749784.203,4442276.063,4548141,3753084.938,2050813.203,2062941.156,3632733.828,2592877.75,2879419.188,1704409.668,1394717.641,4256883.15,4254026.293,4650436.079,4571391.536,5380191.418,4662242.964,4061305.286,3836268.777,3946732.709,2215012.31,2767979.467,3884527.06,3476661.317,3009661.408,2473971.736,2514327.173,7.099346621,7.094582145,7.755688024,7.623862791,8.972725447,7.775378762,6.773174866,6.397873942,6.582098342,3.694050226,4.616252075,6.478355898,5.798144536,5.019313144,4.125925534,4.193227649,0,56.953,4,24,4,207,22.9,8.02,cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;developmental processes;other biological processes,cytosol;mitochondrion,other molecular function,14297,ENSMUSG00000059363,Fxn,Mitochondrial protein import; Mitochondrial iron-sulfur cluster biogenesis,
P70404,Idh3g,Metabolism > Carbohydrate metabolism > TCA cycle,"Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial OS=Mus musculus OX=10090 GN=Idh3g PE=1 SV=1",39,213152527.3,241621224.8,253781032,278501482.4,228545740.3,272080476.7,274623882.6,300184763.4,162612200.6,148862414.8,154235168.2,172131519.3,143186306,175647862.5,154204892,117892500.6,201972938.2,146051954.8,234472059.1,197990926.4,212972197.1,256506961.1,224242525.7,206070778.2,139625962.6,172157483.9,171932894.6,150647637.1,159687344.1,177853838.5,164275034.3,178086733.1,6.744690268,4.877263295,7.829966871,6.611714849,7.111999844,8.56580104,7.488361531,6.881533657,4.662673521,5.749032106,5.741532164,5.030731645,5.332603889,5.939256338,5.485805352,5.94703363,0,332.518,12,455,12,393,42.8,9.01,other metabolic processes;other biological processes,nucleus,other molecular function,15929,ENSMUSG00000002010,Idh3g,Citric acid cycle (TCA cycle),TCA Cycle
Q9CY16,Mrps28,Mitochondrial central dogma > Translation > Mitochondrial ribosome,"28S ribosomal protein S28, mitochondrial OS=Mus musculus OX=10090 GN=Mrps28 PE=1 SV=1",24,3008398.125,4002855.25,3899784.844,4037766.563,3648576.188,5087139.188,4368744.188,4249685,2927061.438,3379329.938,3258922.344,3254824.281,2980776.156,3452631.875,2801775.469,2479123.828,3461992.801,3659655.858,2902179.695,3841983.186,3228317.21,4303215.857,3743686.933,3824614.912,3198774.351,3230990.206,2930240.281,2781802.575,2951174.742,3115665.695,2463724.665,3158468.605,6.557240756,6.931627513,5.496918126,7.276967394,6.114643906,8.150572234,7.090787864,7.244070748,6.0586878,6.119706735,5.550066711,5.268915989,5.589717948,5.90127457,4.666455627,5.98234608,0,34.507,4,35,4,186,20.5,8.92,,mitochondrion;translational apparatus,,66230,ENSMUSG00000040269,Mrps28,Mitochondrial translation elongation; Mitochondrial translation termination,mRNA processing
O35857,Timm44,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor",Mitochondrial import inner membrane translocase subunit TIM44 OS=Mus musculus OX=10090 GN=Timm44 PE=1 SV=2,43,47950904.91,61118901.7,58704145.66,67426908.48,56635070.23,55611973.43,57992030.36,64711452.92,33009646.88,34237573.04,33384649.47,35927201.78,29800186.46,39198353.91,35400031.11,24437790.38,49958212.88,51785617.79,48824089.55,49719407.41,52751011.1,42457055.95,52052682.65,55570485.31,37415322.3,42990058.1,32329325.06,40506476.96,36229182.72,36029219.14,36713286.86,36953938.41,7.113662744,7.373871055,6.952172363,7.079658694,7.511335589,6.04555607,7.411899024,7.912806889,5.327652232,6.12145145,4.603445599,5.767808724,5.158755138,5.130281872,5.22768782,5.261954737,0,241.497,23,211,23,452,51.1,8.13,cell organization and biogenesis;transport,mitochondrion,other molecular function,21856,ENSMUSG00000002949,Timm44,,
Q9DCS3,Mecr,Metabolism > Lipid metabolism > Type II fatty acid synthesis,"Enoyl-[acyl-carrier-protein] reductase, mitochondrial OS=Mus musculus OX=10090 GN=Mecr PE=1 SV=2",50,18296142.13,20803403.84,19222907.15,22799910.28,20765323.98,21521077.06,22363876.34,21704373,12845739.84,15220683.63,15178371.91,15793226.53,11201113.27,16240149.66,14234809.5,11740213.91,20470497.24,17645023.32,16368803.82,19150399.18,21216496.21,24541262.91,17627662,17641717.22,13486584.08,14004045.01,13245822.16,15366175.2,16256023.53,15897547.3,16993352.92,13686053.49,7.481976194,6.449264171,5.982805353,6.999479743,7.754639161,8.969842924,6.442918599,6.44805579,4.929352709,5.118484918,4.841354115,5.616344131,5.941584105,5.810560878,6.21107834,5.002258869,0,234.895,11,120,11,373,40.3,9.07,other metabolic processes,cytosol;nucleus,signal transduction activity or receptor binding;other molecular function,26922,ENSMUSG00000028910,Mecr,Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,Fatty Acid Biosynthesis
Q9Z2Z6,Slc25a20,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Metals and cofactors > Carnitine synthesis and transport | Metabolism > Metals and cofactors > Carnitine shuttle | Small molecule transport > SLC25A family,Mitochondrial carnitine/acylcarnitine carrier protein OS=Mus musculus OX=10090 GN=Slc25a20 PE=1 SV=1,32,22233226.59,19414731.69,20372277.33,21592914.89,18193169.49,26123371.5,20855773.55,23559121.2,14318941.19,11397355.69,11488589,13632773.91,10212958.06,13867983.54,10150200,9737662.289,19845635.14,20417282.51,17348300.66,16605673.67,16186469.62,20886341.14,20895800.36,18271140.69,15901347.81,13751095.66,12630854.09,13227195.4,11691222.93,13228513.15,12184051.68,15110590.16,7.686698704,7.908111676,6.719420127,6.431782573,6.269414618,8.089789531,8.093453317,7.076858585,6.158979982,5.326134863,4.892237968,5.12321551,4.528295895,5.123725904,4.719180493,5.852700253,0,57.002,11,88,11,301,33,9.11,transport;developmental processes,other membranes;cytosol,transporter activity,57279,ENSMUSG00000032602,Slc25a20,Carnitine metabolism,Fatty Acid Beta Oxidation; Mitochondrial LC-Fatty Acid Beta-Oxidation
P48962,Slc25a4,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Small molecule transport > SLC25A family,ADP/ATP translocase 1 OS=Mus musculus OX=10090 GN=Slc25a4 PE=1 SV=4,48,1299389838,1427338208,1480926135,1559761769,1358036933,1575428153,1626878122,1591026253,982541455,907782730.5,938256807.1,995302141.9,897641240.1,1030114589,845287502.3,751287698.3,1348361383,1270242731,1224508176,1182890580,1146645910,1280985900,1455117363,1194422485,905831686.1,889653973.3,890398779.3,971290992.1,924905626.1,902168778.9,950430628.3,907267322.6,7.729159813,7.281363284,7.019200861,6.780637925,6.572874006,7.342945934,8.341112985,6.846741822,5.192463944,5.099729067,5.103998489,5.567693792,5.301800752,5.171467203,5.448116736,5.200693387,0,233.858,19,1175,7,298,32.9,9.72,cell organization and biogenesis;transport;other biological processes,other membranes;mitochondrion,transporter activity;other molecular function,11739,ENSMUSG00000031633,Slc25a4,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,Electron Transport Chain; mRNA processing
Q791V5,Mtch2,Small molecule transport > SLC25A family | Mitochondrial dynamics and surveillance > Fusion,Mitochondrial carrier homolog 2 OS=Mus musculus OX=10090 GN=Mtch2 PE=1 SV=1,37,74653056.48,106748722.5,104647350.2,105408096.3,93074693.38,111140691.4,105597301.3,102963054.5,63919251.69,65080446.4,70068584.21,59039364.35,56392018.02,69573293.3,58654262.16,51926256.17,87873840.68,81522048.51,83899490.48,90001672.33,83741113.1,94295182.26,83362915.06,79317738.32,69548654.27,76047220.37,63708479.1,61312760.15,49135964.44,70071672.23,65499320.82,54493351.03,7.360657374,6.828606362,7.027750221,7.538892894,7.014483911,7.898534117,6.98280456,6.6439647,5.825667923,6.370013295,5.336471956,5.135797145,4.115821002,5.869477958,5.486479879,4.564576704,0,116.37,8,160,8,303,33.5,8.25,cell organization and biogenesis;other metabolic processes;transport;other biological processes,other membranes;mitochondrion,,56428,ENSMUSG00000027282; ENSMUSG00000111714,Mtch2,,
Q9JK42,Pdk2,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial OS=Mus musculus OX=10090 GN=Pdk2 PE=1 SV=2",41,20252075.88,20896234.44,22421219.59,24644740.44,25712537.95,26538940.72,31146024.25,25385278.81,15950711.47,12437004.72,14113802.2,12140585.16,11636974.48,15876171.31,13956741.75,12812065.69,11683701.69,16094565.49,18319073.92,21643470.13,20708919.18,21937442.82,22761733.27,19724715.05,14138985.67,14260094.48,15242002.73,12928621.49,12593864.65,16595781.15,16463680.47,17325075.63,4.288828864,5.907959551,6.724527468,7.944839899,7.601786885,8.052750782,8.355329602,7.240507287,5.190109389,5.234565758,5.595002592,4.745811426,4.622929586,6.09194475,6.04345351,6.35965265,0,162.239,12,187,10,407,46,6.61,protein metabolism;other metabolic processes;stress response;signal transduction;other biological processes,cytosol;mitochondrion;nucleus;other cell component,kinase activity;other molecular function,18604,ENSMUSG00000038967,Pdk2,Regulation of pyruvate dehydrogenase (PDH) complex; Signaling by Retinoic Acid,TCA Cycle
P56391,Cox6b1,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,Cytochrome c oxidase subunit 6B1 OS=Mus musculus OX=10090 GN=Cox6b1 PE=1 SV=2,42,174725030,199961240.2,206534209.4,206467565.4,241365403.6,214379393.3,188071200.2,216753270.5,129212383.5,140393794.1,141233717.2,138753607,145883282.1,161302486.3,136650575,119672856.6,203639556.4,173163882.4,162844503.2,173894828.3,196864212.9,168618486.2,173972750.5,221168080.1,151808507.3,132268307.6,143224716,115145762.6,165487772,158435167.5,149642841.4,133425431.4,7.761822817,6.600227366,6.206899105,6.628087731,7.503577234,6.426977333,6.631057778,8.4299312,5.786256638,5.041472226,5.459081173,4.38883792,6.307648608,6.038835085,5.70371121,5.085576575,0,23.906,5,132,5,86,10.1,8.72,other metabolic processes,other membranes,,110323,ENSMUSG00000036751,Cox6b1,Respiratory electron transport; Cytoprotection by HMOX1; TP53 Regulates Metabolic Genes,Electron Transport Chain
