"","Accession","log2_foldchange","foldchange","AveExpr","t","p_value","adj_p_value","q_value","B","description","exp_q.value_combined","sum_pep_score","coverage_percent","num_peptides","num_psms","num_unique_peptides","num_aas","mw_kda","calc_pi","biological_process","cellular_component","molecular_function","entrez_gene_id","ensembl_gene_id","gene_symbol","reactome_pathways","wikipathways"
"542","P63318",0.715952217804734,1.64256699862994,25.2169582005624,-5.17093198747216,6.40888565587405e-05,0.000723708262744975,0.000261658414214624,1.67328658616518,"Protein kinase C gamma type OS=Mus musculus OX=10090 GN=Prkcg PE=1 SV=1",0,203.598,32,18,186,17,697,78.3,7.46,"cell-cell signaling;protein metabolism;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;nucleus;other cell component","kinase activity;other molecular function","18752","ENSMUSG00000078816; ENSMUSG00000097449","Prkcg","Trafficking of GluR2-containing AMPA receptors; WNT5A-dependent internalization of FZD4; Calmodulin induced events; Disinhibition of SNARE formation","PluriNetWork: mechanisms associated with pluripotency; G Protein Signaling Pathways; Myometrial Relaxation and Contraction Pathways; Wnt Signaling Pathway; MAPK signaling pathway; Calcium Regulation in the Cardiac Cell; Wnt Signaling Pathway and Pluripotency"
"543","Q8BRK8",0.715838947431582,1.64243804076432,19.1187127299566,-4.12720886060126,0.000631932151117549,0.00390351819365872,0.00141132612820616,-0.590486116982103,"5'-AMP-activated protein kinase catalytic subunit alpha-2 OS=Mus musculus OX=10090 GN=Prkaa2 PE=1 SV=3",0,20.989,5,2,6,2,552,62,7.87,"cell-cell signaling;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;ER/Golgi;nucleus;other cell component","kinase activity;other molecular function","108079","ENSMUSG00000028518","Prkaa2","Regulation of TP53 Activity through Phosphorylation; Macroautophagy; TP53 Regulates Metabolic Genes; Carnitine metabolism; Energy dependent regulation of mTOR by LKB1-AMPK; AMPK inhibits chREBP transcriptional activation activity","Focal Adhesion-PI3K-Akt-mTOR-signaling pathway; Insulin Signaling"
"544","Q9DB27",0.715616765537369,1.64218511697487,21.2886070948531,-4.36709077608192,0.000371013306892888,0.0026156769990427,0.000945704133695041,-0.0658757634572957,"Malignant T-cell-amplified sequence 1 OS=Mus musculus OX=10090 GN=Mcts1 PE=1 SV=1",0,68.847,41,5,45,5,181,20.5,8.82,"cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;other biological processes","plasma membrane;other membranes;cytosol;translational apparatus","nucleic acid binding activity","68995","ENSMUSG00000000355","Mcts1",NA,NA
"545","Q6PER3",0.715586320427228,1.64215046240283,24.6580564977829,-3.96467953088464,0.000907518813250404,0.00510204228676154,0.00184465531586781,-0.945933407242647,"Microtubule-associated protein RP/EB family member 3 OS=Mus musculus OX=10090 GN=Mapre3 PE=1 SV=1",0,170.777,48,12,133,2,281,31.9,5.54,"cell cycle OR cell proliferation;cell organization and biogenesis;other biological processes","cytoskeleton;other cell component","cytoskeletal activity;other molecular function","100732","ENSMUSG00000029166","Mapre3",NA,NA
"546","Q8VDM4",0.715452401028823,1.6419980354594,23.1910960825679,-4.03798746901477,0.000770772127418304,0.00452088699665602,0.00163453726215832,-0.785659035219719,"26S proteasome non-ATPase regulatory subunit 2 OS=Mus musculus OX=10090 GN=Psmd2 PE=1 SV=1",0,155.687,24,15,84,15,908,100.1,5.17,"protein metabolism;other metabolic processes;other biological processes","nucleus;other cell component","enzyme regulator activity","21762","ENSMUSG00000006998","Psmd2","Neutrophil degranulation; ABC-family proteins mediated transport; Downstream TCR signaling; FCERI mediated NF-kB activation; Neddylation; Asymmetric localization of PCP proteins; Degradation of AXIN; Hedgehog 'on' state; Ub-specific processing proteases; Regulation of RUNX3 expression and activity; Antigen processing: Ubiquitination & Proteasome degradation; Autodegradation of Cdh1 by Cdh1:APC/C; APC/C:Cdc20 mediated degradation of Securin; APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1; Cdc20:Phospho-APC/C mediated degradation of Cyclin A; Separation of Sister Chromatids; CDK-mediated phosphorylation and removal of Cdc6; The role of GTSE1 in G2/M progression after G2 checkpoint; MAPK6/MAPK4 signaling; UCH proteinases; Regulation of PTEN stability and activity; Regulation of RAS by GAPs; FBXL7 down-regulates AURKA during mitotic entry and in early mitosis; Regulation of ornithine decarboxylase (ODC); Activation of NF-kappaB in B cells; Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha; Cross-presentation of soluble exogenous antigens (endosomes); SCF(Skp2)-mediated degradation of p27/p21; Degradation of beta-catenin by the destruction complex; Autodegradation of the E3 ubiquitin ligase COP1; AUF1 (hnRNP D0) binds and destabilizes mRNA; Degradation of DVL; Hedgehog ligand biogenesis; Dectin-1 mediated noncanonical NF-kB signaling; Degradation of GLI1 by the proteasome; GLI3 is processed to GLI3R by the proteasome; NIK-->noncanonical NF-kB signaling; CDT1 association with the CDC6:ORC:origin complex; Orc1 removal from chromatin; G2/M Checkpoints; Ubiquitin Mediated Degradation of Phosphorylated Cdc25A; Ubiquitin-dependent degradation of Cyclin D; ROS sensing by NFE2L2; RUNX1 regulates transcription of genes involved in differentiation of HSCs; Regulation of RUNX2 expression and activity; Interleukin-1 signaling","Proteasome Degradation"
"547","Q9CWK8",0.714426794674289,1.64083116018545,22.752568228417,-4.58014572569214,0.000231788562575531,0.00184169097804469,0.000665867678449273,0.398842755696248,"Sorting nexin-2 OS=Mus musculus OX=10090 GN=Snx2 PE=1 SV=2",0,135.203,25,11,57,10,519,58.4,5.12,"cell organization and biogenesis;transport","other membranes;cytosol;other cytoplasmic organelle;other cell component","signal transduction activity or receptor binding;other molecular function","67804","ENSMUSG00000034484","Snx2","Golgi Associated Vesicle Biogenesis",NA
"548","Q9CPQ3",-0.714150056826583,-1.64051644604088,23.8278709214692,5.65558584706632,2.29303154724598e-05,0.000337897521405805,0.00012216763877028,2.69499331281821,"Mitochondrial import receptor subunit TOM22 homolog OS=Mus musculus OX=10090 GN=Tomm22 PE=1 SV=3",0,109.954,66,5,77,5,142,15.5,4.34,"cell organization and biogenesis;transport;other biological processes","other membranes;mitochondrion","transporter activity","223696","ENSMUSG00000022427","Tomm22","PINK1-PRKN Mediated Mitophagy",NA
"549","Q3UQ84",-0.713732441618355,-1.64004163643167,23.1144851555849,5.80211657769678,1.68979693820364e-05,0.000268527811833086,9.70868581080823e-05,2.99866406521486,"Threonine--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Tars2 PE=1 SV=1",0,100.26,25,17,88,17,723,81.6,7.87,"protein metabolism;RNA metabolism OR transcription;other metabolic processes","mitochondrion","other molecular function","71807","ENSMUSG00000028107","Tars2",NA,NA
"550","Q9CQF4",-0.712615258315584,-1.63877212496173,22.4479262358678,5.93384947966444,1.28719602315571e-05,0.000219603442738383,7.93981380909641e-05,3.26941433086436,"Mitochondrial transcription rescue factor 1 OS=Mus musculus OX=10090 GN=Mtres1 PE=1 SV=1",0,39.399,25,5,31,5,240,27.8,9.36,"other biological processes","mitochondrion","nucleic acid binding activity","67851","ENSMUSG00000019797","Mtres1",NA,NA
"551","P57746",0.712576848339431,1.63872849525584,25.8691566285927,-5.15364672121727,6.65139067677458e-05,0.000736323894864287,0.000266219625499035,1.63640002640477,"V-type proton ATPase subunit D OS=Mus musculus OX=10090 GN=Atp6v1d PE=1 SV=1",0,220.145,51,15,205,15,247,28.4,9.45,"cell organization and biogenesis;transport;other biological processes","other membranes;cytoskeleton;other cell component","transporter activity","73834","ENSMUSG00000021114","Atp6v1d","Neutrophil degranulation; Amino acids regulate mTORC1; ROS and RNS production in phagocytes; Insulin receptor recycling; Transferrin endocytosis and recycling; Ion channel transport",NA
"552","A0A5F8MQ13",-0.712576369865815,-1.6387279517673,19.8575260732362,3.54836030429293,0.00229428321129282,0.0101524519079299,0.00367064272078827,-1.85159022316206,"Transmembrane protein 178B OS=Mus musculus OX=10090 GN=Tmem178b PE=1 SV=1",0,17.851,7,2,13,2,294,33.3,9.17,NA,"other membranes",NA,NA,"ENSMUSG00000057716","Tmem178b",NA,NA
"553","Q5SUH7",0.711657571187278,1.63768463929587,21.4623371293198,-4.30652005380199,0.000424308346871088,0.00293368279827888,0.00106067987381383,-0.198260705768406,"Clathrin interactor 1 OS=Mus musculus OX=10090 GN=Clint1 PE=1 SV=1",0,44.992,11,5,16,5,623,67.7,6.42,"transport","other membranes;ER/Golgi",NA,"216705","ENSMUSG00000006169","Clint1",NA,NA
"554","P20917",-0.709980296527959,-1.63578177642701,26.8578982720669,4.01581820257722,0.000809788261026318,0.00467943627082804,0.00169186112287725,-0.834139431542585,"Myelin-associated glycoprotein OS=Mus musculus OX=10090 GN=Mag PE=1 SV=3",0,337.376,28,13,247,13,627,69.3,5.1,"cell adhesion;cell organization and biogenesis;stress response;developmental processes;other biological processes","plasma membrane;other membranes;other cell component","signal transduction activity or receptor binding;other molecular function","17136","ENSMUSG00000036634","Mag","Basigin interactions; Axonal growth inhibition (RHOA activation)","Spinal Cord Injury"
"555","P60335",0.709457301845546,1.63518889290028,23.6687502138933,-3.46836887322667,0.0027404173848386,0.0115755465312422,0.00418516590862765,-2.02406760384717,"Poly(rC)-binding protein 1 OS=Mus musculus OX=10090 GN=Pcbp1 PE=1 SV=1",0,109.344,35,8,95,5,356,37.5,7.09,"RNA metabolism OR transcription;other metabolic processes;other biological processes","cytosol;nucleus;other cell component","nucleic acid binding activity;other molecular function","23983","ENSMUSG00000051695","Pcbp1","mRNA Splicing - Major Pathway; Processing of Capped Intron-Containing Pre-mRNA","mRNA processing"
"556","Q80TL4",0.709057622166846,1.63473594807674,24.8588210909457,-5.06886851780162,7.98397127406023e-05,0.000841321544139422,0.000304181771048389,1.45508496589191,"PHD finger protein 24 OS=Mus musculus OX=10090 GN=Phf24 PE=1 SV=2",0,135.774,35,11,157,11,400,45.2,5.77,"signal transduction;other biological processes",NA,"other molecular function","230085","ENSMUSG00000036062","Phf24",NA,NA
"557","O35943",-0.708823811327825,-1.63447103553305,21.7926814239582,4.15210100986565,0.00059789355119498,0.00376405508827383,0.00136090291643012,-0.536025754328279,"Frataxin, mitochondrial OS=Mus musculus OX=10090 GN=Fxn PE=1 SV=1",0,56.953,25,4,24,4,207,22.9,8.02,"cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;developmental processes;other biological processes","cytosol;mitochondrion","other molecular function","14297","ENSMUSG00000059363","Fxn","Mitochondrial protein import; Mitochondrial iron-sulfur cluster biogenesis",NA
"558","Q8K2Q7",0.708025202583819,1.63356651890753,19.7647602429962,-4.34210284198029,0.000579486108689111,0.00368942609748593,0.00133392063034991,-0.274675384121687,"BRO1 domain-containing protein BROX OS=Mus musculus OX=10090 GN=Brox PE=1 SV=1",0,13.061,5,2,7,2,411,46.2,7.69,NA,"other membranes",NA,"71678","ENSMUSG00000046836","Brox",NA,NA
"559","Q9DCV4",-0.707947826942611,-1.63347890866157,22.0497140205138,4.26851282597794,0.000461635765609126,0.00313673543494063,0.00113409402927683,-0.281368785133073,"Regulator of microtubule dynamics protein 1 OS=Mus musculus OX=10090 GN=Rmdn1 PE=1 SV=2",0,56.409,20,6,46,6,305,35,8.7,NA,"cytoskeleton","cytoskeletal activity","66302","ENSMUSG00000028229","Rmdn1",NA,NA
"560","Q8K221",0.706820340804864,1.63220282099622,22.1526819856539,-4.29765539244184,0.000432732503362165,0.00297107804137682,0.00107420021137509,-0.217642218098107,"Arfaptin-2 OS=Mus musculus OX=10090 GN=Arfip2 PE=1 SV=2",0,69.754,21,7,44,7,341,37.7,5.87,"cell organization and biogenesis;other metabolic processes;transport","other membranes;ER/Golgi;other cell component","other molecular function","76932","ENSMUSG00000030881","Arfip2","Retrograde transport at the Trans-Golgi-Network",NA
"561","Q9Z110",-0.705123458175702,-1.6302841698927,23.7528586438241,4.92398651811671,0.000109262471076369,0.00106059950372406,0.000383462229944233,1.14377883801837,"Delta-1-pyrroline-5-carboxylate synthase OS=Mus musculus OX=10090 GN=Aldh18a1 PE=1 SV=2",0,218.075,26,16,120,16,795,87.2,7.55,"other metabolic processes;other biological processes","other membranes;mitochondrion","kinase activity;other molecular function","56454","ENSMUSG00000025007","Aldh18a1","Glutamate and glutamine metabolism",NA
"562","P48318",0.703985913268639,1.62899922022422,23.1784895146904,-5.48157661039324,3.30613595598634e-05,0.000449741264656445,0.000162605005600652,2.33109596147872,"Glutamate decarboxylase 1 OS=Mus musculus OX=10090 GN=Gad1 PE=1 SV=2",0,164.09,29,12,119,11,593,66.6,7.17,"other metabolic processes;other biological processes","other membranes;other cell component","other molecular function","14415","ENSMUSG00000070880","Gad1","GABA synthesis","One carbon metabolism and related pathways; Alanine and aspartate metabolism; Biogenic Amine Synthesis"
"563","Q9DCU2",-0.703441976413036,-1.62838515718784,23.3299135846912,4.10840597938047,0.000658931538316708,0.00403237452252507,0.00145791443513636,-0.631622923607067,"Plasmolipin OS=Mus musculus OX=10090 GN=Pllp PE=1 SV=1",0,25.011,21,2,35,2,182,19.8,9.41,"stress response;transport;developmental processes","other membranes;other cell component","other molecular function","67801","ENSMUSG00000031775","Pllp",NA,NA
"564","G5E8W6",-0.703133229806802,-1.62803670891316,18.9175437141249,4.14844230768277,0.000602778464395789,0.0037827228155793,0.00136765227687713,-0.544030494373765,"GTP-binding protein Rit1 OS=Mus musculus OX=10090 GN=Rit1 PE=1 SV=1",0.009,2.036,12,1,10,1,90,9.7,4.81,"signal transduction","other membranes","other molecular function",NA,"ENSMUSG00000028057","Rit1",NA,NA
"565","Q9Z0G0",0.703011258267946,1.62789907362423,19.9504193395051,-2.48671633318586,0.0229244768335687,0.0591265465975748,0.0213773411430017,-4.04480810793462,"PDZ domain-containing protein GIPC1 OS=Mus musculus OX=10090 GN=Gipc1 PE=1 SV=1",0,37.792,8,2,12,2,333,36.1,5.91,"cell-cell signaling;transport;signal transduction;other biological processes","other membranes;cytosol;ER/Golgi;other cell component","signal transduction activity or receptor binding;enzyme regulator activity;cytoskeletal activity;other molecular function","67903","ENSMUSG00000019433","Gipc1",NA,NA
"566","Q9R0N0",0.702152196079894,1.62693001902842,19.0876152065256,-4.30071295063774,0.000629774345422772,0.00389629622497825,0.00140871500854688,-0.356388214118637,"Galactokinase OS=Mus musculus OX=10090 GN=Galk1 PE=1 SV=2",0.001,4.679,10,2,4,2,392,42.3,5.26,"other metabolic processes","cytosol;other cell component","kinase activity;other molecular function","14635","ENSMUSG00000020766","Galk1","Galactose catabolism",NA
"567","O35598",-0.701212224528636,-1.62587035651482,20.320184537536,3.90769226865725,0.00103042714323174,0.00555528504989914,0.00200852629642981,-1.07043132976225,"Disintegrin and metalloproteinase domain-containing protein 10 OS=Mus musculus OX=10090 GN=Adam10 PE=1 SV=2",0,19.84,4,3,12,3,749,83.9,7.94,"cell organization and biogenesis;protein metabolism;other metabolic processes;transport;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;ER/Golgi;nucleus;other cell component","other molecular function","11487","ENSMUSG00000054693","Adam10","Neutrophil degranulation; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation; Degradation of the extracellular matrix; NOTCH3 Activation and Transmission of Signal to the Nucleus","Hypertrophy Model; Alzheimers Disease; Delta-Notch Signaling Pathway"
"568","Q9JJU8",0.700944195794762,1.62556832491222,20.9843663255268,-1.85409889761581,0.084891746765853,0.159161928641402,0.0575453673745408,-4.76906390575949,"SH3 domain-binding glutamic acid-rich-like protein OS=Mus musculus OX=10090 GN=Sh3bgrl PE=1 SV=1",0,38.613,45,4,21,4,114,12.8,4.92,NA,NA,"other molecular function","56726","ENSMUSG00000031246","Sh3bgrl",NA,"EGFR1 Signaling Pathway"
"569","O88986",-0.700921291503644,-1.62554251752151,21.5944999467331,4.79282428554235,0.000145397195154254,0.00129640349797039,0.000468717715305067,0.86053013529942,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial OS=Mus musculus OX=10090 GN=Gcat PE=1 SV=2",0,81.638,16,5,52,5,416,44.9,7.33,"other metabolic processes","nucleus","other molecular function","26912","ENSMUSG00000006378","Gcat",NA,NA
"570","Q8R299",-0.700489786296025,-1.62505639595429,22.9169840605973,3.96083151816897,0.000915334581102219,0.00513134222492724,0.00185524877700634,-0.954343006427926,"Vomeronasal type-1 receptor OS=Mus musculus OX=10090 GN=Vmn1r185 PE=3 SV=1",0.003,3.017,7,1,30,1,319,37.1,9.77,"signal transduction;other biological processes","plasma membrane;other membranes","other molecular function","171265","ENSMUSG00000091924","Vmn1r185",NA,NA
"571","A0A0A0MQA5",0.699891006127171,1.62438206796777,27.2534122386945,-4.85141753503266,0.000127950407638226,0.00119208642199113,0.000431001632621819,0.987219487686734,"Tubulin alpha chain (Fragment) OS=Mus musculus OX=10090 GN=Tuba4a PE=1 SV=1",0,538.582,50,22,1096,4,477,52.9,5.19,"cell organization and biogenesis;other biological processes","cytoskeleton;other cell component","cytoskeletal activity;other molecular function",NA,"ENSMUSG00000026202","Tuba4a",NA,NA
"572","Z4YJJ5",0.699817419475174,1.62429921623116,21.987013901245,-3.43278870124844,0.00296548375509485,0.0123150384392295,0.00445253093667722,-2.10055766298181,"Deubiquitinating enzyme CYLD OS=Mus musculus OX=10090 GN=Cyld PE=1 SV=1",0,78.159,10,8,42,8,955,106.8,5.63,"cell-cell signaling;protein metabolism;other metabolic processes;stress response;signal transduction","plasma membrane;other membranes;cytoskeleton;other cell component","other molecular function",NA,"ENSMUSG00000036712","Cyld",NA,NA
"573","Q8BFU3",0.69932060261841,1.62373995715316,20.8843401908079,-3.78129625663729,0.00136579393079284,0.00699948520280453,0.00253068023783217,-1.34611635376142,"RING finger protein 214 OS=Mus musculus OX=10090 GN=Rnf214 PE=1 SV=1",0,62.392,13,6,34,6,668,73.6,6.23,"protein metabolism;other metabolic processes",NA,"other molecular function","235315","ENSMUSG00000042790","Rnf214",NA,NA
"574","P27661",-0.698788983976684,-1.6231417355031,18.2036269068136,2.44628444682956,0.0249262041105407,0.0626486207712047,0.0226507552940614,-4.12224802563766,"Histone H2AX OS=Mus musculus OX=10090 GN=H2ax PE=1 SV=2",0,42.437,48,4,52,1,143,15.1,10.74,"cell cycle OR cell proliferation;cell organization and biogenesis;DNA metabolism;other metabolic processes;stress response;developmental processes;other biological processes","cytoskeleton;nucleus;other cell component","nucleic acid binding activity;other molecular function","15270","ENSMUSG00000049932","H2ax","Transcriptional regulation by small RNAs; Senescence-Associated Secretory Phenotype (SASP); Deposition of new CENPA-containing nucleosomes at the centromere; RNA Polymerase I Promoter Escape; B-WICH complex positively regulates rRNA expression; RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function; Estrogen-dependent gene expression; Recognition and association of DNA glycosylase with site containing an affected purine; Cleavage of the damaged purine; PRC2 methylates histones and DNA; Condensation of Prophase Chromosomes; Oxidative Stress Induced Senescence; DNA Damage/Telomere Stress Induced Senescence; SIRT1 negatively regulates rRNA expression; NoRC negatively regulates rRNA expression; Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3; RNA Polymerase I Promoter Opening; Inhibition of DNA recombination at telomere; Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks; Processing of DNA double-strand break ends; G2/M DNA damage checkpoint; Nonhomologous End-Joining (NHEJ)","Proteasome Degradation"
"575","D3Z6G3",0.698350609885047,1.6226486062064,19.1384290222627,-3.97394154792418,0.000888979858409419,0.00501211676965883,0.00181214253493965,-0.925690256064216,"Microtubule-associated protein RP/EB family member 3 OS=Mus musculus OX=10090 GN=Mapre3 PE=1 SV=1",0,152.292,46,11,109,1,266,30.3,5.3,"cell cycle OR cell proliferation;other biological processes","cytoskeleton;other cell component","cytoskeletal activity","100732","ENSMUSG00000029166","Mapre3",NA,NA
"576","Q99KI0",-0.697672632195456,-1.62188624058636,30.8905187457058,4.82464123096778,0.000135642179968926,0.00125484936914915,0.000453693722888294,0.929354257670333,"Aconitate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Aco2 PE=1 SV=1",0,1003.026,57,40,1462,36,780,85.4,7.93,"other metabolic processes;stress response;developmental processes","cytosol;mitochondrion","other molecular function","11429","ENSMUSG00000022477","Aco2","Citric acid cycle (TCA cycle)","TCA Cycle"
"577","P61793",-0.697651222422831,-1.62186217177279,20.6768560065429,4.12391478281175,0.000636580432672623,0.00391994294556688,0.00141726453565484,-0.597692979141636,"Lysophosphatidic acid receptor 1 OS=Mus musculus OX=10090 GN=Lpar1 PE=1 SV=1",0,11.856,5,2,6,2,364,41.1,8.53,"cell organization and biogenesis;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;other cytoplasmic organelle;other cell component","other molecular function","14745","ENSMUSG00000038668","Lpar1","G alpha (q) signalling events; G alpha (i) signalling events; Lysosphingolipid and LPA receptors","Non-odorant GPCRs; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway; Small Ligand GPCRs; Myometrial Relaxation and Contraction Pathways"
"578","D3YVC9",-0.697367045895604,-1.62154273505411,18.0296614930942,3.59354087129732,0.00223788972532257,0.00996556317231215,0.00360307266153423,-1.74312925231883,"Graves disease carrier protein homolog (Fragment) OS=Mus musculus OX=10090 GN=Slc25a16 PE=1 SV=1",0,6.174,3,1,2,1,322,34.9,9.95,"transport","other membranes;mitochondrion",NA,NA,"ENSMUSG00000071253","Slc25a16",NA,NA
"579","Q9CPX6",0.697298347331767,1.62146552192056,19.5712662707701,-4.34109584675601,0.000393003459392639,0.00275591927663059,0.000996409057002546,-0.122680442743505,"Ubiquitin-like-conjugating enzyme ATG3 OS=Mus musculus OX=10090 GN=Atg3 PE=1 SV=1",0,15.2,4,1,8,1,314,35.8,4.72,"cell organization and biogenesis;protein metabolism;other metabolic processes;transport;other biological processes","cytosol;other cell component","other molecular function","67841","ENSMUSG00000022663","Atg3","Macroautophagy",NA
"580","A0A0A0MQE8",-0.69720884468661,-1.62136493174209,22.275578316241,1.99536011694001,0.0613554557254594,0.122617571508132,0.0443326696229415,-4.93823214273848,"Rho GTPase-activating protein 21 OS=Mus musculus OX=10090 GN=Arhgap21 PE=1 SV=1",0,109.649,8,12,65,1,1949,216.3,7.71,"signal transduction;other biological processes",NA,"enzyme regulator activity",NA,"ENSMUSG00000036591","Arhgap21",NA,NA
"581","Q8BG32",0.696792874030148,1.62089751278316,22.5902048241642,-4.72241108549306,0.000169604708893422,0.00145306990814995,0.000525360822145933,0.707976114157248,"26S proteasome non-ATPase regulatory subunit 11 OS=Mus musculus OX=10090 GN=Psmd11 PE=1 SV=3",0,87.896,27,10,56,10,422,47.4,6.48,"cell organization and biogenesis;protein metabolism;other metabolic processes;other biological processes","other cell component","other molecular function","69077","ENSMUSG00000017428","Psmd11","Neutrophil degranulation; Separation of Sister Chromatids; MAPK6/MAPK4 signaling; The role of GTSE1 in G2/M progression after G2 checkpoint; Hedgehog ligand biogenesis; AUF1 (hnRNP D0) binds and destabilizes mRNA; Downstream TCR signaling; FCERI mediated NF-kB activation; Neddylation; Asymmetric localization of PCP proteins; Degradation of AXIN; Hedgehog 'on' state; Ub-specific processing proteases; Regulation of RUNX3 expression and activity; Antigen processing: Ubiquitination & Proteasome degradation; Autodegradation of Cdh1 by Cdh1:APC/C; APC/C:Cdc20 mediated degradation of Securin; APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1; Cdc20:Phospho-APC/C mediated degradation of Cyclin A; CDK-mediated phosphorylation and removal of Cdc6; UCH proteinases; Regulation of PTEN stability and activity; ABC-family proteins mediated transport; Regulation of RAS by GAPs; FBXL7 down-regulates AURKA during mitotic entry and in early mitosis; Regulation of ornithine decarboxylase (ODC); Activation of NF-kappaB in B cells; Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha; Cross-presentation of soluble exogenous antigens (endosomes); SCF(Skp2)-mediated degradation of p27/p21; Degradation of beta-catenin by the destruction complex; Autodegradation of the E3 ubiquitin ligase COP1; Degradation of DVL; Dectin-1 mediated noncanonical NF-kB signaling; Degradation of GLI1 by the proteasome; GLI3 is processed to GLI3R by the proteasome; NIK-->noncanonical NF-kB signaling; CDT1 association with the CDC6:ORC:origin complex; Orc1 removal from chromatin; G2/M Checkpoints; Ubiquitin Mediated Degradation of Phosphorylated Cdc25A; Ubiquitin-dependent degradation of Cyclin D; ROS sensing by NFE2L2; RUNX1 regulates transcription of genes involved in differentiation of HSCs; Regulation of RUNX2 expression and activity; Interleukin-1 signaling","Proteasome Degradation"
"582","Q499X9",-0.696760953944246,-1.62086165030771,19.9342107167772,4.16505805789207,0.00058091228313012,0.00369254081905774,0.00133504676521551,-0.507677581213505,"Methionine--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Mars2 PE=1 SV=2",0,24.131,7,4,6,4,586,65.8,8.09,"protein metabolism;RNA metabolism OR transcription;other metabolic processes","mitochondrion","other molecular function","212679","ENSMUSG00000046994","Mars2",NA,NA
"583","Q922H2",-0.696541765900371,-1.62061541219256,24.5745573162261,4.91427918291893,0.00011159155718767,0.00107526241290124,0.000388763639034855,1.12285963138125,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial OS=Mus musculus OX=10090 GN=Pdk3 PE=1 SV=1",0,172.669,37,12,193,11,415,47.9,8.82,"protein metabolism;other metabolic processes;stress response;signal transduction;other biological processes","mitochondrion;nucleus","kinase activity;other molecular function","236900","ENSMUSG00000035232","Pdk3","Regulation of pyruvate dehydrogenase (PDH) complex; Signaling by Retinoic Acid","TCA Cycle"
"584","A0A0M3HEQ0",0.696140217820592,1.62016440596197,27.2108877482362,-4.44069844091056,0.000315259656688634,0.00230508034695716,0.000833407188048983,0.0948688589730917,"Thioredoxin-disulfide reductase OS=Mus musculus OX=10090 GN=Txnrd2 PE=1 SV=1",0,108.238,29,10,82,10,527,56.8,8.41,"other biological processes","cytosol;mitochondrion","other molecular function",NA,"ENSMUSG00000075704","Txnrd2",NA,"Oxidative Stress and Redox Pathway"
"585","Q9QUR6",0.695620001576824,1.61958030199103,22.258913978693,-4.3165548680219,0.000414971843067352,0.00289452041332467,0.00104652062198339,-0.176322665579044,"Prolyl endopeptidase OS=Mus musculus OX=10090 GN=Prep PE=1 SV=1",0,109.247,20,11,52,11,710,80.7,5.73,"protein metabolism;other metabolic processes","cytosol;nucleus;other cell component","other molecular function","19072","ENSMUSG00000019849","Prep",NA,NA
"586","Q99J77",0.695406128069127,1.61934022377869,20.0044864558826,-3.10681866212796,0.00640587628971432,0.0218010003953058,0.0078822026573134,-2.75864594978892,"Sialic acid synthase OS=Mus musculus OX=10090 GN=Nans PE=1 SV=1",0,31.515,16,4,12,4,359,40,7.06,"other metabolic processes","cytosol","other molecular function","94181","ENSMUSG00000028334","Nans","Sialic acid metabolism",NA
"587","A0A0A6YWY8",-0.694437220692791,-1.61825304741944,21.1352305201513,3.51795142393043,0.00245470164383812,0.0106424413403367,0.00384779954552754,-1.91723702825238,"Protocadherin 9 OS=Mus musculus OX=10090 GN=Pcdh9 PE=1 SV=1",0,33.189,4,4,19,4,1203,132.2,5.47,"cell adhesion","plasma membrane;other membranes;other cell component","other molecular function","211712","ENSMUSG00000055421","Pcdh9",NA,NA
